match_id,season,team,batsman,runs,balls_faced,fours,sixes,dismissed,strike_rate
13,2011,Chennai Super Kings,Ambati Rayudu,35,45,4,1,True,77.78
14,2011,Kolkata Knight Riders,Shreyas Iyer,64,72,9,2,True,88.89
14,2011,Kolkata Knight Riders,Venkatesh Iyer,24,36,3,1,True,66.67
14,2011,Kolkata Knight Riders,Andre Russell,50,56,5,5,True,89.29
14,2011,Kolkata Knight Riders,Nitish Rana,26,26,4,1,True,100.0
14,2011,Royal Challengers Bangalore,Virat Kohli,33,33,4,1,False,100.0
14,2011,Royal Challengers Bangalore,Faf du Plessis,38,50,5,4,True,76.0
14,2011,Royal Challengers Bangalore,Glenn Maxwell,27,35,4,1,False,77.14
14,2011,Royal Challengers Bangalore,Dinesh Karthik,41,48,5,4,True,85.42
15,2011,Sunrisers Hyderabad,Kane Williamson,62,67,7,4,True,92.54
15,2011,Sunrisers Hyderabad,Abhishek Sharma,70,86,12,4,False,81.4
15,2011,Sunrisers Hyderabad,Rahul Tripathi,58,84,10,2,True,69.05
15,2011,Sunrisers Hyderabad,Nicholas Pooran,47,67,7,5,True,70.15
15,2011,Rajasthan Royals,Jos Buttler,57,76,9,1,False,75.0
15,2011,Rajasthan Royals,Sanju Samson,82,103,11,8,True,79.61
15,2011,Rajasthan Royals,Yashasvi Jaiswal,45,71,7,5,True,63.38
15,2011,Rajasthan Royals,Devdutt Padikkal,63,63,5,1,False,100.0
16,2011,Mumbai Indians,Rohit Sharma,68,88,11,5,True,77.27
16,2011,Mumbai Indians,Ishan Kishan,32,38,3,2,True,84.21
16,2011,Mumbai Indians,Suryakumar Yadav,32,35,5,3,True,91.43
16,2011,Mumbai Indians,Hardik Pandya,47,62,5,1,True,75.81
16,2011,Punjab Kings,Shikhar Dhawan,15,17,2,1,True,88.24
16,2011,Punjab Kings,Jonny Bairstow,31,47,3,1,True,65.96
16,2011,Punjab Kings,Liam Livingstone,37,40,6,2,True,92.5
16,2011,Punjab Kings,Sam Curran,62,69,6,5,False,89.86
17,2011,Rajasthan Royals,Jos Buttler,83,111,7,7,True,74.77
17,2011,Rajasthan Royals,Sanju Samson,65,83,10,5,True,78.31
17,2011,Rajasthan Royals,Yashasvi Jaiswal,57,63,6,4,True,90.48
17,2011,Rajasthan Royals,Devdutt Padikkal,56,57,4,5,True,98.25
17,2011,Sunrisers Hyderabad,Kane Williamson,51,77,8,4,True,66.23
17,2011,Sunrisers Hyderabad,Abhishek Sharma,47,54,4,5,False,87.04
17,2011,Sunrisers Hyderabad,Rahul Tripathi,42,42,6,3,False,100.0
17,2011,Sunrisers Hyderabad,Nicholas Pooran,36,49,4,4,True,73.47
18,2011,Kolkata Knight Riders,Shreyas Iyer,35,61,4,3,True,57.38
18,2011,Kolkata Knight Riders,Venkatesh Iyer,53,75,9,5,False,70.67
18,2011,Kolkata Knight Riders,Andre Russell,17,30,1,1,True,56.67
18,2011,Kolkata Knight Riders,Nitish Rana,33,35,5,2,True,94.29
18,2011,Mumbai Indians,Rohit Sharma,49,50,7,1,False,98.0
18,2011,Mumbai Indians,Ishan Kishan,47,47,5,4,True,100.0
18,2011,Mumbai Indians,Suryakumar Yadav,51,67,7,5,False,76.12
18,2011,Mumbai Indians,Hardik Pandya,42,46,7,1,True,91.3
19,2011,Delhi Capitals,David Warner,28,50,4,1,False,56.0
19,2011,Delhi Capitals,Prithvi Shaw,33,33,2,1,True,100.0
19,2011,Delhi Capitals,Rishabh Pant,63,70,5,4,True,90.0
19,2011,Delhi Capitals,Axar Patel,45,45,5,3,True,100.0
19,2011,Chennai Super Kings,MS Dhoni,49,62,4,3,False,79.03
19,2011,Chennai Super Kings,Ruturaj Gaikwad,7,7,0,0,False,100.0
19,2011,Chennai Super Kings,Devon Conway,24,30,2,1,True,80.0
19,2011,Chennai Super Kings,Ambati Rayudu,4,4,0,0,True,100.0
20,2011,Royal Challengers Bangalore,Virat Kohli,64,64,11,6,True,100.0
20,2011,Royal Challengers Bangalore,Faf du Plessis,49,61,7,3,True,80.33
20,2011,Royal Challengers Bangalore,Glenn Maxwell,39,45,4,2,True,86.67
20,2011,Royal Challengers Bangalore,Dinesh Karthik,43,68,3,4,False,63.24
20,2011,Punjab Kings,Shikhar Dhawan,71,89,10,5,False,79.78
20,2011,Punjab Kings,Jonny Bairstow,45,45,6,4,False,100.0
20,2011,Punjab Kings,Liam Livingstone,13,13,2,1,False,100.0
20,2011,Punjab Kings,Sam Curran,41,41,6,4,True,100.0
21,2011,Kolkata Knight Riders,Shreyas Iyer,63,74,9,2,True,85.14
21,2011,Kolkata Knight Riders,Venkatesh Iyer,26,29,4,2,True,89.66
21,2011,Kolkata Knight Riders,Andre Russell,82,98,7,4,False,83.67
21,2011,Kolkata Knight Riders,Nitish Rana,85,85,10,2,True,100.0
21,2011,Delhi Capitals,David Warner,42,54,4,4,True,77.78
21,2011,Delhi Capitals,Prithvi Shaw,5,10,0,0,True,50.0
21,2011,Delhi Capitals,Rishabh Pant,37,44,3,3,False,84.09
21,2011,Delhi Capitals,Axar Patel,41,49,6,1,True,83.67
22,2011,Sunrisers Hyderabad,Kane Williamson,75,87,13,7,False,86.21
22,2011,Sunrisers Hyderabad,Abhishek Sharma,68,85,10,4,True,80.0
22,2011,Sunrisers Hyderabad,Rahul Tripathi,39,51,5,4,True,76.47
22,2011,Sunrisers Hyderabad,Nicholas Pooran,38,38,6,1,False,100.0
22,2011,Chennai Super Kings,MS Dhoni,59,68,10,2,False,86.76
22,2011,Chennai Super Kings,Ruturaj Gaikwad,21,21,3,2,False,100.0
22,2011,Chennai Super Kings,Devon Conway,12,24,1,0,True,50.0
22,2011,Chennai Super Kings,Ambati Rayudu,70,71,7,3,False,98.59
23,2011,Mumbai Indians,Rohit Sharma,43,58,4,4,True,74.14
23,2011,Mumbai Indians,Ishan Kishan,15,25,1,1,True,60.0
23,2011,Mumbai Indians,Suryakumar Yadav,1,1,0,0,True,100.0
23,2011,Mumbai Indians,Hardik Pandya,60,66,9,6,True,90.91
23,2011,Rajasthan Royals,Jos Buttler,24,24,3,1,True,100.0
23,2011,Rajasthan Royals,Sanju Samson,0,1,0,0,True,0.0
23,2011,Rajasthan Royals,Yashasvi Jaiswal,52,69,7,2,False,75.36
23,2011,Rajasthan Royals,Devdutt Padikkal,2,5,0,0,True,40.0
24,2011,Punjab Kings,Shikhar Dhawan,91,117,7,5,True,77.78
24,2011,Punjab Kings,Jonny Bairstow,37,38,2,2,False,97.37
24,2011,Punjab Kings,Liam Livingstone,67,71,9,4,False,94.37
24,2011,Punjab Kings,Sam Curran,63,77,10,3,True,81.82
24,2011,Royal Challengers Bangalore,Virat Kohli,60,69,9,7,False,86.96
24,2011,Royal Challengers Bangalore,Faf du Plessis,72,72,10,2,True,100.0
24,2011,Royal Challengers Bangalore,Glenn Maxwell,31,42,4,2,False,73.81
24,2011,Royal Challengers Bangalore,Dinesh Karthik,17,28,2,1,True,60.71
25,2011,Rajasthan Royals,Jos Buttler,33,44,5,2,True,75.0
25,2011,Rajasthan Royals,Sanju Samson,43,53,3,4,True,81.13
25,2011,Rajasthan Royals,Yashasvi Jaiswal,41,44,6,1,True,93.18
25,2011,Rajasthan Royals,Devdutt Padikkal,61,84,7,4,True,72.62
25,2011,Mumbai Indians,Rohit Sharma,0,1,0,0,False,0.0
25,2011,Mumbai Indians,Ishan Kishan,40,44,5,4,True,90.91
25,2011,Mumbai Indians,Suryakumar Yadav,36,72,5,2,True,50.0
25,2011,Mumbai Indians,Hardik Pandya,3,3,0,0,False,100.0
26,2011,Punjab Kings,Shikhar Dhawan,8,20,0,0,True,40.0
26,2011,Punjab Kings,Jonny Bairstow,27,27,4,2,False,100.0
26,2011,Punjab Kings,Liam Livingstone,60,60,8,6,False,100.0
26,2011,Punjab Kings,Sam Curran,49,52,5,2,True,94.23
26,2011,Sunrisers Hyderabad,Kane Williamson,34,47,5,2,True,72.34
26,2011,Sunrisers Hyderabad,Abhishek Sharma,24,26,2,2,True,92.31
26,2011,Sunrisers Hyderabad,Rahul Tripathi,27,27,4,2,True,100.0
26,2011,Sunrisers Hyderabad,Nicholas Pooran,41,45,6,3,False,91.11
27,2011,Kolkata Knight Riders,Shreyas Iyer,29,29,5,1,True,100.0
27,2011,Kolkata Knight Riders,Venkatesh Iyer,34,34,5,3,True,100.0
27,2011,Kolkata Knight Riders,Andre Russell,18,18,1,0,True,100.0
27,2011,Kolkata Knight Riders,Nitish Rana,21,21,3,2,True,100.0
27,2011,Chennai Super Kings,MS Dhoni,39,39,5,2,True,100.0
27,2011,Chennai Super Kings,Ruturaj Gaikwad,78,101,11,4,True,77.23
27,2011,Chennai Super Kings,Devon Conway,77,86,10,5,True,89.53
27,2011,Chennai Super Kings,Ambati Rayudu,39,39,5,1,False,100.0
28,2011,Delhi Capitals,David Warner,44,44,6,4,True,100.0
28,2011,Delhi Capitals,Prithvi Shaw,38,43,4,2,False,88.37
28,2011,Delhi Capitals,Rishabh Pant,57,65,5,5,False,87.69
28,2011,Delhi Capitals,Axar Patel,21,23,3,2,True,91.3
28,2011,Royal Challengers Bangalore,Virat Kohli,36,56,4,4,True,64.29
28,2011,Royal Challengers Bangalore,Faf du Plessis,71,90,10,3,True,78.89
28,2011,Royal Challengers Bangalore,Glenn Maxwell,18,18,1,1,True,100.0
28,2011,Royal Challengers Bangalore,Dinesh Karthik,9,9,1,0,True,100.0
29,2012,Delhi Capitals,David Warner,22,28,3,2,True,78.57
29,2012,Delhi Capitals,Prithvi Shaw,34,41,3,3,True,82.93
29,2012,Delhi Capitals,Rishabh Pant,17,23,1,1,True,73.91
29,2012,Delhi Capitals,Axar Patel,43,66,6,2,True,65.15
29,2012,Mumbai Indians,Rohit Sharma,78,85,13,2,False,91.76
29,2012,Mumbai Indians,Ishan Kishan,33,33,2,1,True,100.0
29,2012,Mumbai Indians,Suryakumar Yadav,42,43,7,1,False,97.67
29,2012,Mumbai Indians,Hardik Pandya,73,77,7,3,True,94.81
30,2012,Kolkata Knight Riders,Shreyas Iyer,48,67,7,3,False,71.64
30,2012,Kolkata Knight Riders,Venkatesh Iyer,67,67,7,6,True,100.0
30,2012,Kolkata Knight Riders,Andre Russell,35,43,3,3,False,81.4
30,2012,Kolkata Knight Riders,Nitish Rana,8,24,0,0,True,33.33
30,2012,Rajasthan Royals,Jos Buttler,66,66,8,3,False,100.0
30,2012,Rajasthan Royals,Sanju Samson,64,81,10,6,True,79.01
30,2012,Rajasthan Royals,Yashasvi Jaiswal,27,35,3,1,True,77.14
30,2012,Rajasthan Royals,Devdutt Padikkal,39,43,3,1,True,90.7
31,2012,Chennai Super Kings,MS Dhoni,21,34,2,1,True,61.76
31,2012,Chennai Super Kings,Ruturaj Gaikwad,44,56,4,3,True,78.57
31,2012,Chennai Super Kings,Devon Conway,29,31,3,1,True,93.55
31,2012,Chennai Super Kings,Ambati Rayudu,18,18,2,1,False,100.0
31,2012,Punjab Kings,Shikhar Dhawan,5,5,0,0,True,100.0
31,2012,Punjab Kings,Jonny Bairstow,34,34,4,3,True,100.0
31,2012,Punjab Kings,Liam Livingstone,16,20,2,0,True,80.0
31,2012,Punjab Kings,Sam Curran,42,42,4,2,False,100.0
32,2012,Sunrisers Hyderabad,Kane Williamson,43,64,7,3,True,67.19
32,2012,Sunrisers Hyderabad,Abhishek Sharma,29,38,4,3,True,76.32
32,2012,Sunrisers Hyderabad,Rahul Tripathi,52,70,6,5,True,74.29
32,2012,Sunrisers Hyderabad,Nicholas Pooran,27,27,3,2,False,100.0
32,2012,Royal Challengers Bangalore,Virat Kohli,40,58,3,2,False,68.97
32,2012,Royal Challengers Bangalore,Faf du Plessis,41,49,3,4,True,83.67
32,2012,Royal Challengers Bangalore,Glenn Maxwell,51,61,4,4,True,83.61
32,2012,Royal Challengers Bangalore,Dinesh Karthik,64,71,7,7,True,90.14
33,2012,Chennai Super Kings,MS Dhoni,37,37,4,1,True,100.0
33,2012,Chennai Super Kings,Ruturaj Gaikwad,80,93,11,7,True,86.02
33,2012,Chennai Super Kings,Devon Conway,60,60,7,1,False,100.0
33,2012,Chennai Super Kings,Ambati Rayudu,53,78,4,5,True,67.95
33,2012,Mumbai Indians,Rohit Sharma,67,69,10,2,True,97.1
33,2012,Mumbai Indians,Ishan Kishan,29,49,4,1,True,59.18
33,2012,Mumbai Indians,Suryakumar Yadav,34,34,4,2,False,100.0
33,2012,Mumbai Indians,Hardik Pandya,45,65,7,2,True,69.23
34,2012,Sunrisers Hyderabad,Kane Williamson,19,19,2,0,True,100.0
34,2012,Sunrisers Hyderabad,Abhishek Sharma,50,58,6,2,True,86.21
34,2012,Sunrisers Hyderabad,Rahul Tripathi,18,36,2,1,False,50.0
34,2012,Sunrisers Hyderabad,Nicholas Pooran,51,51,5,5,True,100.0
34,2012,Rajasthan Royals,Jos Buttler,55,67,6,3,True,82.09
34,2012,Rajasthan Royals,Sanju Samson,43,56,5,5,False,76.79
34,2012,Rajasthan Royals,Yashasvi Jaiswal,45,62,4,2,True,72.58
34,2012,Rajasthan Royals,Devdutt Padikkal,22,22,3,2,True,100.0
35,2012,Royal Challengers Bangalore,Virat Kohli,21,36,3,2,True,58.33
35,2012,Royal Challengers Bangalore,Faf du Plessis,49,61,5,4,True,80.33
35,2012,Royal Challengers Bangalore,Glenn Maxwell,64,68,10,6,False,94.12
35,2012,Royal Challengers Bangalore,Dinesh Karthik,25,27,2,1,False,92.59
35,2012,Delhi Capitals,David Warner,32,49,2,2,True,65.31
35,2012,Delhi Capitals,Prithvi Shaw,48,64,5,3,True,75.0
35,2012,Delhi Capitals,Rishabh Pant,75,97,11,3,True,77.32
35,2012,Delhi Capitals,Axar Patel,69,84,8,4,True,82.14
36,2012,Kolkata Knight Riders,Shreyas Iyer,59,79,8,2,True,74.68
36,2012,Kolkata Knight Riders,Venkatesh Iyer,69,94,8,7,True,73.4
36,2012,Kolkata Knight Riders,Andre Russell,83,99,12,7,True,83.84
36,2012,Kolkata Knight Riders,Nitish Rana,55,55,7,2,True,100.0
36,2012,Punjab Kings,Shikhar Dhawan,55,65,4,5,True,84.62
36,2012,Punjab Kings,Jonny Bairstow,40,40,5,3,False,100.0
36,2012,Punjab Kings,Liam Livingstone,51,62,8,4,False,82.26
36,2012,Punjab Kings,Sam Curran,32,40,4,1,True,80.0
37,2012,Chennai Super Kings,MS Dhoni,35,37,3,2,False,94.59
37,2012,Chennai Super Kings,Ruturaj Gaikwad,43,59,4,4,False,72.88
37,2012,Chennai Super Kings,Devon Conway,48,49,5,4,False,97.96
37,2012,Chennai Super Kings,Ambati Rayudu,42,51,5,4,True,82.35
37,2012,Royal Challengers Bangalore,Virat Kohli,22,22,2,1,False,100.0
37,2012,Royal Challengers Bangalore,Faf du Plessis,46,46,7,3,True,100.0
37,2012,Royal Challengers Bangalore,Glenn Maxwell,25,29,4,0,True,86.21
37,2012,Royal Challengers Bangalore,Dinesh Karthik,43,51,4,1,True,84.31
38,2012,Rajasthan Royals,Jos Buttler,26,41,2,1,True,63.41
38,2012,Rajasthan Royals,Sanju Samson,24,24,3,0,True,100.0
38,2012,Rajasthan Royals,Yashasvi Jaiswal,31,40,3,3,True,77.5
38,2012,Rajasthan Royals,Devdutt Padikkal,37,37,4,2,False,100.0
38,2012,Sunrisers Hyderabad,Kane Williamson,76,90,8,4,True,84.44
38,2012,Sunrisers Hyderabad,Abhishek Sharma,51,60,6,6,True,85.0
38,2012,Sunrisers Hyderabad,Rahul Tripathi,31,47,3,1,True,65.96
38,2012,Sunrisers Hyderabad,Nicholas Pooran,53,63,7,2,True,84.13
39,2012,Mumbai Indians,Rohit Sharma,69,86,12,2,True,80.23
39,2012,Mumbai Indians,Ishan Kishan,79,90,10,7,True,87.78
39,2012,Mumbai Indians,Suryakumar Yadav,45,51,4,4,True,88.24
39,2012,Mumbai Indians,Hardik Pandya,58,69,9,6,True,84.06
39,2012,Delhi Capitals,David Warner,45,80,6,2,True,56.25
39,2012,Delhi Capitals,Prithvi Shaw,78,81,7,6,True,96.3
39,2012,Delhi Capitals,Rishabh Pant,35,35,3,3,True,100.0
39,2012,Delhi Capitals,Axar Patel,31,39,3,3,True,79.49
40,2012,Punjab Kings,Shikhar Dhawan,69,74,9,4,False,93.24
40,2012,Punjab Kings,Jonny Bairstow,91,131,12,8,True,69.47
40,2012,Punjab Kings,Liam Livingstone,36,44,4,1,True,81.82
40,2012,Punjab Kings,Sam Curran,22,28,2,1,False,78.57
40,2012,Kolkata Knight Riders,Shreyas Iyer,21,21,2,2,True,100.0
40,2012,Kolkata Knight Riders,Venkatesh Iyer,66,77,6,4,True,85.71
40,2012,Kolkata Knight Riders,Andre Russell,28,47,4,1,True,59.57
40,2012,Kolkata Knight Riders,Nitish Rana,27,27,3,2,False,100.0
41,2012,Punjab Kings,Shikhar Dhawan,42,53,5,2,False,79.25
41,2012,Punjab Kings,Jonny Bairstow,62,81,6,3,True,76.54
41,2012,Punjab Kings,Liam Livingstone,53,64,5,5,True,82.81
41,2012,Punjab Kings,Sam Curran,28,38,2,2,True,73.68
41,2012,Delhi Capitals,David Warner,60,73,9,6,True,82.19
41,2012,Delhi Capitals,Prithvi Shaw,60,63,7,2,True,95.24
41,2012,Delhi Capitals,Rishabh Pant,10,10,1,0,True,100.0
41,2012,Delhi Capitals,Axar Patel,62,91,9,2,True,68.13
42,2012,Mumbai Indians,Rohit Sharma,25,39,2,2,True,64.1
42,2012,Mumbai Indians,Ishan Kishan,59,81,8,7,True,72.84
42,2012,Mumbai Indians,Suryakumar Yadav,30,33,3,1,True,90.91
42,2012,Mumbai Indians,Hardik Pandya,33,33,5,1,True,100.0
42,2012,Royal Challengers Bangalore,Virat Kohli,17,29,1,1,False,58.62
42,2012,Royal Challengers Bangalore,Faf du Plessis,12,22,1,0,True,54.55
42,2012,Royal Challengers Bangalore,Glenn Maxwell,56,66,5,5,False,84.85
42,2012,Royal Challengers Bangalore,Dinesh Karthik,59,63,6,3,True,93.65
43,2012,Kolkata Knight Riders,Shreyas Iyer,39,39,4,4,True,100.0
43,2012,Kolkata Knight Riders,Venkatesh Iyer,52,79,5,3,True,65.82
43,2012,Kolkata Knight Riders,Andre Russell,24,48,2,0,True,50.0
43,2012,Kolkata Knight Riders,Nitish Rana,43,58,6,3,False,74.14
43,2012,Chennai Super Kings,MS Dhoni,24,45,3,2,True,53.33
43,2012,Chennai Super Kings,Ruturaj Gaikwad,52,55,4,1,True,94.55
43,2012,Chennai Super Kings,Devon Conway,41,41,4,4,False,100.0
43,2012,Chennai Super Kings,Ambati Rayudu,53,78,8,2,False,67.95
44,2012,Rajasthan Royals,Jos Buttler,20,29,3,2,False,68.97
44,2012,Rajasthan Royals,Sanju Samson,17,17,1,0,True,100.0
44,2012,Rajasthan Royals,Yashasvi Jaiswal,24,26,3,1,True,92.31
44,2012,Rajasthan Royals,Devdutt Padikkal,70,79,11,5,True,88.61
44,2012,Sunrisers Hyderabad,Kane Williamson,12,16,1,0,False,75.0
44,2012,Sunrisers Hyderabad,Abhishek Sharma,11,15,1,0,False,73.33
44,2012,Sunrisers Hyderabad,Rahul Tripathi,21,34,2,0,True,61.76
44,2012,Sunrisers Hyderabad,Nicholas Pooran,31,31,4,3,True,100.0
45,2012,Punjab Kings,Shikhar Dhawan,41,41,7,3,True,100.0
45,2012,Punjab Kings,Jonny Bairstow,31,31,2,2,False,100.0
45,2012,Punjab Kings,Liam Livingstone,23,29,2,1,True,79.31
45,2012,Punjab Kings,Sam Curran,41,53,5,2,True,77.36
45,2012,Royal Challengers Bangalore,Virat Kohli,77,88,10,6,True,87.5
45,2012,Royal Challengers Bangalore,Faf du Plessis,35,35,4,1,False,100.0
45,2012,Royal Challengers Bangalore,Glenn Maxwell,40,42,5,3,True,95.24
