match_id,season,team1,team2,winner,toss_winner,toss_decision,team1_score,team2_score,margin
95,2014,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,132,135,3
96,2014,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,bat,145,191,46
97,2014,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,field,179,147,32
98,2014,Punjab Kings,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,156,182,26
99,2014,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,field,206,211,5
100,2014,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,135,201,66
101,2014,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,bat,162,184,22
102,2014,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,214,145,69
103,2014,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,178,196,18
104,2014,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,130,140,10
105,2014,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,field,182,156,26
106,2014,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Chennai Super Kings,bat,207,192,15
107,2014,Mumbai Indians,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,133,181,48
108,2014,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Punjab Kings,field,201,158,43
109,2014,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,field,186,136,50
110,2014,Delhi Capitals,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,214,133,81
111,2014,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Chennai Super Kings,field,193,157,36
112,2014,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,180,182,2
113,2015,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Punjab Kings,field,146,203,57
114,2015,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,195,196,1
115,2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,152,174,22
116,2015,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Kolkata Knight Riders,bat,137,123,14
117,2015,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,field,180,138,42
118,2015,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,bat,190,141,49
119,2015,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,141,209,68
120,2015,Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi Capitals,field,174,146,28
121,2015,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Rajasthan Royals,field,210,145,65
122,2015,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Delhi Capitals,field,181,198,17
123,2015,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,219,147,72
124,2015,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,155,133,22
125,2015,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,193,208,15
126,2015,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,bat,186,136,50
127,2015,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,154,136,18
128,2015,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,196,137,59
129,2015,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,181,145,36
130,2015,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Delhi Capitals,field,199,152,47
131,2015,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,133,213,80
132,2015,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Punjab Kings,field,153,174,21
133,2015,Rajasthan Royals,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,204,123,81
134,2015,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,180,181,1
135,2015,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,Sunrisers Hyderabad,field,155,170,15
136,2015,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Chennai Super Kings,bat,197,138,59
137,2015,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,140,196,56
138,2015,Punjab Kings,Delhi Capitals,Delhi Capitals,Punjab Kings,field,139,124,15
139,2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,169,121,48
140,2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,146,128,18
141,2016,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,bat,164,120,44
142,2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Mumbai Indians,bat,201,130,71
143,2016,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,field,164,204,40
144,2016,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,155,181,26
145,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,180,157,23
146,2016,Chennai Super Kings,Punjab Kings,Punjab Kings,Chennai Super Kings,field,154,136,18
147,2016,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Kolkata Knight Riders,field,182,170,12
148,2016,Delhi Capitals,Mumbai Indians,Mumbai Indians,Mumbai Indians,field,136,170,34
149,2016,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Chennai Super Kings,bat,156,174,18
150,2016,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,field,139,124,15
151,2016,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Kolkata Knight Riders,bat,142,150,8
152,2016,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,185,134,51
153,2016,Delhi Capitals,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,165,145,20
154,2016,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,203,157,46
155,2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,175,131,44
156,2016,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,field,218,179,39
157,2016,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,bat,160,128,32
158,2016,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,170,205,35
159,2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Royal Challengers Bangalore,bat,150,209,59
160,2016,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,field,130,182,52
161,2016,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,155,160,5
162,2016,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,204,157,47
163,2016,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,146,162,16
164,2016,Punjab Kings,Mumbai Indians,Punjab Kings,Punjab Kings,bat,153,144,9
165,2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Sunrisers Hyderabad,field,157,204,47
166,2016,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,178,139,39
167,2016,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,178,190,12
168,2016,Chennai Super Kings,Punjab Kings,Punjab Kings,Chennai Super Kings,field,180,175,5
169,2017,Mumbai Indians,Delhi Capitals,Delhi Capitals,Delhi Capitals,field,167,170,3
170,2017,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,Punjab Kings,bat,184,122,62
171,2017,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,163,206,43
172,2017,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,137,184,47
173,2017,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,180,211,31
174,2017,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,217,197,20
175,2017,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Punjab Kings,field,197,156,41
176,2017,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,177,201,24
177,2017,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,field,130,166,36
178,2017,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Punjab Kings,bat,131,186,55
179,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,field,166,157,9
180,2017,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,field,173,205,32
181,2017,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,143,128,15
182,2017,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,field,202,141,61
183,2017,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,bat,158,206,48
184,2017,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,field,214,161,53
185,2017,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,215,204,11
186,2017,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,169,131,38
187,2017,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Kolkata Knight Riders,bat,174,136,38
188,2017,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,175,183,8
189,2017,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,Delhi Capitals,bat,140,159,19
190,2017,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Punjab Kings,field,168,173,5
191,2017,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,151,188,37
192,2017,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,149,202,53
193,2017,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,202,192,10
194,2017,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,172,161,11
195,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,173,170,3
196,2017,Punjab Kings,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,bat,173,178,5
197,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,field,199,191,8
198,2018,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,188,145,43
199,2018,Punjab Kings,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,139,135,4
200,2018,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,field,215,126,89
201,2018,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,field,168,137,31
202,2018,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,bat,160,143,17
203,2018,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,132,156,24
204,2018,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,field,168,134,34
205,2018,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,field,195,174,21
206,2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,142,132,10
207,2018,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,168,165,3
208,2018,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,191,176,15
209,2018,Delhi Capitals,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,178,122,56
210,2018,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,197,137,60
211,2018,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,182,198,16
212,2018,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,197,131,66
213,2018,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,217,130,87
214,2018,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Delhi Capitals,bat,181,123,58
215,2018,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,field,183,193,10
216,2018,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,132,125,7
217,2018,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Delhi Capitals,bat,164,169,5
218,2018,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,161,132,29
219,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,197,133,64
220,2018,Rajasthan Royals,Punjab Kings,Punjab Kings,Rajasthan Royals,field,196,211,15
221,2018,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,188,207,19
222,2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,134,167,33
223,2018,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,177,196,19
224,2018,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Delhi Capitals,field,169,164,5
225,2019,Delhi Capitals,Punjab Kings,Punjab Kings,Punjab Kings,field,188,178,10
226,2019,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,218,172,46
227,2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,field,189,126,63
228,2019,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,field,160,142,18
229,2019,Mumbai Indians,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,141,158,17
230,2019,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,146,214,68
231,2019,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,164,189,25
232,2019,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,192,147,45
233,2019,Punjab Kings,Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,193,136,57
234,2019,Delhi Capitals,Mumbai Indians,Mumbai Indians,Delhi Capitals,field,194,141,53
235,2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,Royal Challengers Bangalore,field,143,183,40
236,2019,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,field,181,195,14
237,2019,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Mumbai Indians,field,155,165,10
238,2019,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,142,158,16
239,2019,Punjab Kings,Delhi Capitals,Delhi Capitals,Punjab Kings,field,161,121,40
240,2019,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,Sunrisers Hyderabad,field,156,186,30
241,2019,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,148,176,28
242,2019,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,167,134,33
243,2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Royal Challengers Bangalore,bat,154,143,11
244,2019,Delhi Capitals,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,156,191,35
245,2019,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,field,200,122,78
246,2019,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,189,122,67
247,2019,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,207,190,17
248,2019,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,138,157,19
249,2019,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,201,140,61
250,2019,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,167,151,16
